WIND SPEED,GE 2.5-120,GE 2.5-100
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,25,0
3.5,89,30
4,171,63
4.5,269,129
5,389,194
5.5,533,295
6,704,395
6.5,906,527
7,1136,658
7.5,1400,809
8,1674,959
8.5,1934,1152
9,2160,1345
9.5,2316,1604
10,2416,1862
10.5,2477,2060
11,2514,2248
11.5,2528,2340
12,2530,2426
12.5,2530,2475
13,2530,2495
13.5,2530,2500
14,2530,2500
14.5,2530,2500
15,2530,2500
15.5,2530,2500
16,2530,2500
16.5,2530,2500
17,2530,2500
17.5,2530,2500
18,2530,2500
18.5,2530,2500
19,2530,2500
19.5,2530,2500
20,2530,2500
20.5,2530,2500
21,2530,2500
21.5,2530,2500
22,2530,2500
22.5,2530,2500
23,2530,2500
23.5,2530,2500
24,2530,2500
24.5,2530,2500
25,2530,2500
