nomInstallation,codeEICResourceObject,codeINSEECommune,Latitude,Longitude,commune,codeDepartement,departement,codeRegion,region,dateMiseEnService,filiere,puisMaxRac,nbGroupes
CENTRALE EOLIENNE DES COTEAUX 3,17W000000930192I,10015,48.42239773,4.106776155,Aubeterre,10,Aube,44,Grand-Est,2019-12-06 00:00,Eolien,10350,3
PARC EOLIEN DE COULANGES 1,17W000000932956H,18036,47.16404492,2.112356896,Brinay,18,Cher,24,Centre-Val de Loire,2019-11-09 00:00,Eolien,10800,3
PARC EOLIEN DE COULANGES 2,17W0000009345995,18036,47.16404492,2.112356896,Brinay,18,Cher,24,Centre-Val de Loire,2019-11-09 00:00,Eolien,10800,3
P.E. DE BASSE THIERACHE NORD N??2,17W000000910364R,2569,50.02290893,3.652738937,Oisy,2,Aisne,32,Hauts-de-France,2019-11-02 00:00,Eolien,6900,2
FERME EOLIENNE DU DUCANDEAU,17W000000934461Y,55040,48.96723837,5.212667887,Beausite,55,Meuse,44,Grand-Est,2019-10-09 00:00,Eolien,16800,5
PARC EOLIEN LES CAVES SAS,17W000000915818Q,53073,47.80280193,-1.124836884,Congrier,53,Mayenne,52,Pays de la Loire,2019-10-04 00:00,Eolien,11500,5
PARC EOLIEN D'AZERABLES,17W000000934775B,23015,46.35245858,1.474922726,Azerables,23,Creuse,75,Nouvelle-Aquitaine,2019-09-24 00:00,Eolien,13200,6
ENGIE GREEN PAYS HAUT,17W0000009336054,54491,49.35192716,5.92745145,Sancy,54,Meurthe-et-Moselle,44,Grand-Est,2019-09-20 00:00,Eolien,4000,2
PARCS EOLIENS 2019,17W0000009342429,51127,48.63373387,3.817458211,La Chapelle-Lasson,51,Marne,44,Grand-Est,2019-09-19 00:00,Eolien,10800,3
SEPE HAUT DE CORREAU,17W000000933822X,2552,49.85540022,3.468312986,Neuvillette,2,Aisne,32,Hauts-de-France,2019-09-18 00:00,Eolien,9900,3
Confidentiel,17W000000932934R,2552,49.85540022,3.468312986,Neuvillette,2,Aisne,32,Hauts-de-France,2019-09-18 00:00,Eolien,10800,3
SEPE CHAMPS A GELAINE,17W000000932914X,2503,49.85149975,3.526735684,Mont-d'Origny,2,Aisne,32,Hauts-de-France,2019-09-18 00:00,Eolien,10800,3
IEL EXPLOITATION 40,17W000000913801G,22093,48.46844048,-2.49534816,Lamballe,22,C??tes-d'Armor,53,Bretagne,2019-09-05 00:00,Eolien,4700,2
PARC EOLIEN LES PERSILLATS 2,17W000000915325C,18134,47.13464442,2.064036578,Lury-sur-Arnon,18,Cher,24,Centre-Val de Loire,2019-09-04 00:00,Eolien,9300,4
PARC EOLIEN D'ORMOY,17W000000503745Y,28289,48.62435461,1.471770785,Ormoy,28,Eure-et-Loir,24,Centre-Val de Loire,2019-09-01 00:00,Eolien,6000,3
PARCS EOLIENS 2019,17W000000927621T,51127,48.63373387,3.817458211,La Chapelle-Lasson,51,Marne,44,Grand-Est,2019-08-16 00:00,Eolien,10800,3
PARC EOLIEN DU FOUZON,17W0000009281071,18167,47.13364543,1.912318868,Nohant-en-Gra??ay,18,Cher,24,Centre-Val de Loire,2019-08-13 00:00,Eolien,9000,3
ENGIE GREEN POULDERGAT,17W000000502766V,29224,48.04068324,-4.326433545,Pouldergat,29,Finist??re,53,Bretagne,2019-08-01 00:00,Eolien,6900,3
EOLE PIERREFITTE ES BOIS,17W000000925186V,45251,47.51095347,2.692077501,Pierrefitte-??s-Bois,45,Loiret,24,Centre-Val de Loire,2019-07-25 00:00,Eolien,8400,4
PARC EOLIEN DES SOURCES DU MISTRAL 2,17W0000005044802,21163,47.55841312,5.285622662,Chazeuil,21,C??te-d'Or,27,Bourgogne-Franche-Comt??,2019-07-01 00:00,Eolien,8000,4
PARC EOLIEN DES SOURCES DU MISTRAL 1,17W000000501913C,21536,47.58420998,5.321326379,Sacquenay,21,C??te-d'Or,27,Bourgogne-Franche-Comt??,2019-07-01 00:00,Eolien,10000,5
Mont de Treme 1 le chapeau,17W000000931558Y,80822,49.70578387,2.643970792,Warsy,80,Somme,32,Hauts-de-France,2019-06-28 00:00,Eolien,13800,
Mont de Treme 2 le fief brunelle,17W000000931310X,80395,49.69781317,2.66525578,Guerbigny,80,Somme,32,Hauts-de-France,2019-06-28 00:00,Eolien,17000,
PARC EOLIEN DE CHAMPCOURT 2,17W000000927377E,2468,49.74513935,3.76520545,Marle,2,Aisne,32,Hauts-de-France,2019-06-24 00:00,Eolien,7050,3
PARC EOLIEN DE CHAMPCOURT,17W000000923787F,2468,49.74513935,3.76520545,Marle,2,Aisne,32,Hauts-de-France,2019-06-24 00:00,Eolien,7050,3
